#;NAME;P0;P1
433;J1332-3032;0.650434;5.60e-16
434;J1334-5839;0.107718;2.16e-17
435;J1337-6306;0.207953;3.56e-16
436;B1334-61;1.238990;1.39e-14
437;J1339-6618;0.558179;3.50e-16
438;B1336-64;0.378622;5.05e-15
439;J1341-6023;0.627285;1.95e-14
440;B1338-62;0.193340;2.53e-13
441;J1344-6059;0.540102;4.30e-17
442;J1345-6115;1.253085;3.25e-15
443;J1346-4918;0.299625;3.50e-17
444;J1347-5947;0.609962;1.42e-14
445;J1348-6307;0.927772;3.79e-15
446;J1349-6130;0.259363;5.13e-15
447;J1350-5115;0.295699;7.53e-16
448;J1350-6225;0.138158;8.88e-15
449;J1352-6803;0.628903;1.23e-15
450;J1354-6249;2.951938;1.48e-14
451;B1352-51;0.644301;2.81e-15
452;J1355-5747;2.038674;7.15e-16
453;J1355-5925;1.213381;5.99e-15
454;J1356-5521;0.507380;7.24e-16
455;J1357-6429;0.166108;3.60e-13
456;B1356-60;0.127501;6.34e-15
457;J1400-6325;0.031182;3.89e-14
458;B1358-63;0.842790;1.67e-14
459;J1403-6310;0.399170;9.00e-17
460;J1403-7646;1.306198;1.20e-15
461;J1405-5641;0.617575;1.20e-15
462;J1406-5806;0.288349;6.11e-16
463;J1406-6121;0.213075;5.47e-14
464;J1407-6048;0.492344;3.16e-15
465;J1407-6153;0.701615;8.85e-15
466;J1409-6953;0.528591;8.40e-16
467;J1410-6132;0.050052;3.20e-14
468;J1412-6111;0.529156;1.91e-15
469;J1412-6145;0.315225;9.87e-14
470;J1413-6141;0.285625;3.33e-13
471;J1413-6205;0.109741;2.77e-14
472;J1413-6222;0.292408;2.23e-15
473;B1409-62;0.394946;7.43e-15
474;J1414-6802;4.630188;6.39e-15
475;J1415-6621;0.392479;5.80e-16
476;J1416-5033;0.794883;1.20e-16
477;J1416-6037;0.295580;4.28e-15
478;J1418-3921;1.096806;8.89e-16
479;J1418-5945;1.672596;2.71e-16
480;J1418-6058;0.110573;1.69e-13
481;B1417-54;0.935772;2.37e-16
482;J1420-6048;0.068180;8.32e-14
483;J1422-6138;0.340968;9.68e-14
484;J1423-6953;0.333411;1.45e-15
485;J1424-5556;0.770375;7.80e-16
486;J1424-5822;0.366734;3.94e-15
487;J1424-6438;1.023504;2.40e-16
488;J1425-5723;0.353263;2.20e-17
489;J1425-5759;0.707868;7.42e-16
490;J1425-6210;0.501730;4.78e-16
491;J1427-4158;0.586486;6.21e-16
492;B1424-55;0.570290;2.08e-15
493;J1429-5911;0.115843;3.05e-14
494;J1429-5935;0.763915;4.28e-14
495;B1426-66;0.785441;2.77e-15
496;J1432-5032;2.034989;5.92e-15
497;J1433-6038;1.954430;5.63e-15
498;J1434-6006;0.306368;3.02e-15
499;J1434-6029;0.963348;1.03e-15
500;J1435-5954;0.472995;1.54e-15
501;J1437-5959;0.061696;8.59e-15
502;J1437-6146;0.467616;6.33e-15
503;B1436-63;0.459605;1.12e-15
504;J1441-6137;1.175840;3.60e-16
505;J1443-5122;0.732061;3.38e-16
506;J1444-5941;2.760228;8.23e-15
507;J1444-6026;4.758576;1.85e-14
